TF gene ID,level in GCN
Zm00001d051047, 3
Zm00001d017939, 15
Zm00001d037327, 14
Zm00001d045661, 14
Zm00001d017176, 4
Zm00001d046925, 3
Zm00001d045735, 3
Zm00001d003162, 14
Zm00001d017885, 3
Zm00001d031009, 13
Zm00001d038660, 6
Zm00001d043378, 12
Zm00001d015990, 14
Zm00001d012688, 11
Zm00001d031008, 2
Zm00001d041444, 3
Zm00001d018930, 14
Zm00001d041445, 13
Zm00001d002806, 14
Zm00001d037735, 6
Zm00001d014765, 4
Zm00001d017412, 14
Zm00001d021278, 3
Zm00001d036214, 3
Zm00001d025957, 12
Zm00001d051018, 3
Zm00001d031278, 3
Zm00001d032578, 15
Zm00001d014198, 3
Zm00001d029512, 3
Zm00001d030727, 10
Zm00001d033093, 10
Zm00001d034651, 12
Zm00001d005100, 12
Zm00001d006463, 12
Zm00001d039482, 3
Zm00001d041549, 10
Zm00001d043402, 8
Zm00001d051577, 14
Zm00001d012963, 12
Zm00001d013724, 14
Zm00001d017575, 11
Zm00001d017788, 13
Zm00001d035651, 4
Zm00001d038693, 13
Zm00001d021591, 13
Zm00001d010740, 14
Zm00001d011058, 13
Zm00001d012703, 5
Zm00001d033325, 16
Zm00001d032999, 3
Zm00001d040362, 3
Zm00001d040455, 5
Zm00001d051439, 11
Zm00001d005970, 2
Zm00001d034163, 11
Zm00001d013200, 4
Zm00001d028625, 14
Zm00001d051700, 15
Zm00001d047802, 14
Zm00001d002642, 11
Zm00001d013845, 3
Zm00001d032741, 13
Zm00001d052288, 14
Zm00001d017986, 14
Zm00001d048412, 13
Zm00001d003755, 6
Zm00001d050664, 12
Zm00001d016737, 13
Zm00001d020939, 6
Zm00001d003451, 3
Zm00001d050861, 4
Zm00001d016924, 3
Zm00001d028974, 3
Zm00001d031445, 7
Zm00001d022530, 7
Zm00001d047563, 3
Zm00001d029940, 3
Zm00001d031673, 3
Zm00001d031728, 6
Zm00001d024324, 3
Zm00001d025477, 5
Zm00001d026563, 4
Zm00001d001907, 3
Zm00001d005203, 5
Zm00001d006170, 5
Zm00001d042588, 12
Zm00001d052167, 4
Zm00001d052365, 4
Zm00001d053195, 5
Zm00001d053859, 8
Zm00001d016535, 2
Zm00001d018158, 7
Zm00001d036536, 7
Zm00001d019216, 4
Zm00001d021205, 5
Zm00001d008546, 8
Zm00001d008665, 5
Zm00001d009103, 5
Zm00001d011499, 3
Zm00001d046501, 15
Zm00001d047339, 5
Zm00001d000339, 6
Zm00001d027369, 16
Zm00001d027870, 16
Zm00001d027929, 3
Zm00001d029884, 14
Zm00001d031861, 2
Zm00001d032295, 3
Zm00001d026447, 10
Zm00001d026486, 3
Zm00001d002079, 12
Zm00001d002620, 14
Zm00001d002744, 7
Zm00001d040651, 4
Zm00001d049889, 3
Zm00001d051239, 5
Zm00001d051355, 6
Zm00001d052152, 13
Zm00001d017366, 3
Zm00001d036298, 3
Zm00001d045120, 14
Zm00001d045204, 3
Zm00001d038001, 6
Zm00001d026191, 5
Zm00001d002762, 6
Zm00001d043491, 4
Zm00001d026271, 3
Zm00001d002364, 3
Zm00001d049364, 3
Zm00001d006169, 4
Zm00001d017592, 3
Zm00001d044004, 3
Zm00001d039324, 12
Zm00001d036003, 3
Zm00001d021207, 4
Zm00001d021208, 5
Zm00001d010048, 4
Zm00001d034920, 5
Zm00001d038585, 4
Zm00001d025409, 5
Zm00001d042717, 13
Zm00001d038320, 3
Zm00001d010175, 2
Zm00001d038584, 4
Zm00001d010676, 4
Zm00001d053707, 8
Zm00001d015639, 4
Zm00001d002761, 3
Zm00001d043205, 3
Zm00001d012585, 10
Zm00001d003871, 14
Zm00001d019734, 4
Zm00001d005798, 4
Zm00001d052087, 8
Zm00001d045044, 3
Zm00001d037941, 5
Zm00001d022461, 7
Zm00001d018081, 4
Zm00001d015759, 11
Zm00001d003302, 11
Zm00001d044646, 14
Zm00001d041923, 13
Zm00001d049493, 11
Zm00001d016772, 7
Zm00001d021545, 12
Zm00001d021617, 14
Zm00001d021799, 13
Zm00001d022142, 13
Zm00001d026485, 12
Zm00001d017164, 13
Zm00001d017165, 13
Zm00001d028472, 14
Zm00001d034813, 7
Zm00001d027492, 13
Zm00001d032190, 12
Zm00001d033310, 13
Zm00001d024532, 12
Zm00001d002439, 14
Zm00001d041960, 4
Zm00001d017563, 13
Zm00001d018698, 6
Zm00001d028984, 13
Zm00001d032384, 2
Zm00001d034160, 6
Zm00001d023402, 4
Zm00001d023411, 4
Zm00001d026106, 4
Zm00001d007962, 4
Zm00001d039637, 13
Zm00001d013202, 2
Zm00001d037015, 13
Zm00001d022526, 13
Zm00001d010280, 12
Zm00001d015407, 12
Zm00001d046947, 15
Zm00001d039260, 13
Zm00001d044785, 14
Zm00001d032249, 12
Zm00001d020384, 11
Zm00001d051527, 10
Zm00001d017702, 10
Zm00001d030911, 13
Zm00001d011785, 3
Zm00001d029020, 11
Zm00001d013187, 13
Zm00001d034751, 4
Zm00001d040775, 2
Zm00001d043969, 12
Zm00001d029896, 13
Zm00001d023539, 5
Zm00001d025988, 13
Zm00001d002790, 13
Zm00001d002811, 4
Zm00001d005005, 3
Zm00001d041883, 7
Zm00001d017409, 12
Zm00001d047081, 13
Zm00001d051981, 4
Zm00001d018421, 13
Zm00001d016361, 14
Zm00001d046354, 14
Zm00001d014656, 2
Zm00001d036494, 3
Zm00001d033706, 4
Zm00001d024905, 13
Zm00001d005865, 3
Zm00001d050599, 8
Zm00001d053298, 12
Zm00001d013451, 4
Zm00001d015965, 12
Zm00001d018198, 4
Zm00001d020688, 4
Zm00001d029287, 3
